COM,NCOM,NREG,NDEP,F65-79,F80+,H65-79,H80+,latitude,longitude
1173,Gex,Auvergne-Rhône-Alpes,Ain,486,285,403.0,156.0,46.3471891747,6.04650555568
1174,Giron,Auvergne-Rhône-Alpes,Ain,11,3,13.0,3.0,46.2227121191,5.78049809256
1175,Gorrevod,Auvergne-Rhône-Alpes,Ain,63,17,61.0,15.0,46.414943437,4.95120595427
1177,Grand-Corent,Auvergne-Rhône-Alpes,Ain,17,6,21.0,7.0,46.207387937,5.43318666027
1179,Grièges,Auvergne-Rhône-Alpes,Ain,155,72,164.0,43.0,46.2633634407,4.84621318847
1180,Grilly,Auvergne-Rhône-Alpes,Ain,64,15,59.0,17.0,46.3318810665,6.11366767978
1181,Groissiat,Auvergne-Rhône-Alpes,Ain,91,66,85.0,23.0,46.2260039429,5.61095413441
1183,Guéreins,Auvergne-Rhône-Alpes,Ain,100,34,92.0,29.0,46.106624674,4.78159420118
1184,Hautecourt-Romanèche,Auvergne-Rhône-Alpes,Ain,61,16,70.0,15.0,46.1611241927,5.42944457639
1184,Hautecourt-Romanèche,Auvergne-Rhône-Alpes,Ain,61,16,70.0,15.0,46.1611241927,5.42944457639
1185,Plateau d'Hauteville,Auvergne-Rhône-Alpes,Ain,427,361,404.0,173.0,45.9696520061,5.57627261783
1187,Haut Valromey,Auvergne-Rhône-Alpes,Ain,57,23,56.0,21.0,46.0317412192,5.70267027388
1187,Haut Valromey,Auvergne-Rhône-Alpes,Ain,57,23,56.0,21.0,46.0317412192,5.70267027388
1187,Haut Valromey,Auvergne-Rhône-Alpes,Ain,57,23,56.0,21.0,46.0317412192,5.70267027388
1187,Haut Valromey,Auvergne-Rhône-Alpes,Ain,57,23,56.0,21.0,46.0317412192,5.70267027388
1188,Illiat,Auvergne-Rhône-Alpes,Ain,34,16,32.0,11.0,46.1866986838,4.88840344003
1189,Injoux-Génissiat,Auvergne-Rhône-Alpes,Ain,51,19,63.0,13.0,46.0497734524,5.75991363273
